FileName|FoodName|TransFoodName|Description|Category
bad1|Cilok|Cilok|Cilok (aci dicolok) yang banyak dijual di pinggir jalan kurang bersih dan miskin kandungan gizi. Tidak baik untuk kesehatan dan pertumbuhan.|food
bad2|Cireng|Cireng|Cireng (Aci digoreng) yang banyak dijual di pinggir jalan kurang bersih dan miskin kandungan gizi. Tidak baik untuk kesehatan dan pertumbuhan.|food
bad3|Sosis goreng|Sosis goreng|Sosis terlalu tinggi lemak, dapat menyebabkan kegemukan. Berat badan ideal dapat membantu menyehatkan jantung.|food
bad4|Bola-bola snack|Bola-bola snack|Jajanan dalam kemasan atau biasa disebut Chiki mengandung pengawet, penyedap, dan tinggi sodium yang dapat mengganggu kesehatan dan fungsi otak.|food
bad5|Permen|Permen|Permen mengandung banyak gula yang kurang baik untuk kesehatan gigi.|food
bad7|Permen karet|Permen karet|Permen mengandung banyak gula yang kurang baik untuk kesehatan gigi.|food
bad8|Basreng |Basreng |Bakso goreng (Basreng) yang banyak dijual di pinggir jalan kurang bersih, tinggi lemak dan miskin kandungan gizi. Tidak baik untuk kesehatan dan pertumbuhan.|food
bad9|Baslok|Baslok|Bakso cilok (Baslok) yang banyak dijual di pinggir jalan kurang bersih dan miskin kandungan gizi. Tidak baik untuk kesehatan dan pertumbuhan.|food
bad10|Bolu kemasan|Bolu kemasan|Bolu instan mengandung bahan tambahan pangan yang berbahaya bagi kesehatan bila digunakan jangka panjang.|food
bad11|Ayam krispi cepat saji|Ayam krispi cepat saji|Ayam goreng krispi cepat saji tinggi lemak, dapat menyebabkan kegemukan. Kegemukan dapat mengganggu kesehatan jantung.|food
bad12|Kripik singkong|Kripik singkong|Kripik singkong kemasan mengandung bahan penyedap yang terlalu tinggi, dapat mengganggu penyerapan makanan dan fungsi otak.|food
bad13|Kripik kemasan|Kripik kemasan|Konsumsi keripik berlebihan, dapat menyebabkan iritasi kerongkongan.|food
bad14|Wafer|Wafer|Wafer dalam kemasan kurang mengandung vitamin dan mineral. Sepotong roti selai lebih baik daripada satu bungkus wafer.|food
bad15|Gorengan pinggir jalan|Gorengan pinggir jalan|Gorengan yang tidak bersih dan terlalu berlemak, dapat menyebabkan kegemukan. Tidak baik untuk kesehatan jantung.|food
bad19|Kentang goreng cepat saji|Kentang goreng cepat saji|Kentang goreng terlalu tinggi lemak, dapat menyebabkan kegemukan. Kegemukan dapat mengganggu kesehatan jantung.|food
bad20|Bawang bombay goreng|Bawang bombay goreng|Bawang bombay yang digoreng banyak menyerap lemak, dapat menyebabkan kegemukan yang mengganggu kesehatan jantung.|food
bad22|Permen lolipop|Permen lolipop|Permen lolipop banyak mengandung gula yang dapat merusak gigi dan menyebabkan radang teggorokan.|food
bad23|Dodol|Dodol|Dodol kurang mengandung vitamin dan mineral dan tinggi gula. Sepotong kue bolu lebih baik daripada semangkuk dodol.|food
bad25|Stik keju|Stik keju|Stik keju dalam kemasanbiasanya mengandung bahan penyedap yang terlalu tinggi, dapat mengganggu penyerapan makanan dan fungsi otak.|food
bad27|Peyek|Peyek|Konsumsi peyek atau kerupuk berlebihan, dapat menyebabkan iritasi kerongkongan.|food
bad28|Kue Leker|Kue Leker|Kue leker kandungan gizinya rendah, dan tinggi gula yang dapat menyebabkan gigi berlubang jika dikonsumsi berlebihan.|food
bad29|Brondong jagung|Brondong jagung|Brondong jagung mengandung bahan penyedap yang terlalu tinggi, dapat mengganggu penyerapan makanan dan fungsi otak.|food
bad30|Kue coklat|Kue coklat|Kue coklat mengandung gula tinggi yang dapat menyebabkan gigi berlubang jika dikonsumsi berlebihan.|food
bad31|Permen jelly|Permen jelly|Permen jelly miskin vitamin dan mineral dan tinggi gula yang dapat merusak gigi dan menyebabkan radang teggorokan.|food
bad32|Coklat |Coklat |Coklat kurang mengandung vitamin dan mineral dan tinggi gula yang dapat merusak gigi dan menyebabkan radang teggorokan.|food
bad33|Mie instan|Mie instan|Mie instan mengandung bahan penyedap dan pengawet yang tinggi, dapat mengganggu penyerapan makanan dan fungsi otak jika dikonsumsi berlebihan.|food
bad34|Mie instan cup|Mie instan cup|Mie cup instan mengandung bahan penyedap dan pengawet yang tinggi, dapat mengganggu penyerapan makanan dan fungsi otak. Kemasan panas juga tidak aman bagi kesehatan.|food
bad35|Sosis dibalut mie|Sosis dibalut mie|Sosis dengan balutan mie mengandung banyak lemak yang dapatmenyebabkan iritasi kerongkongan dan kegemukan bila dikonsumsi berlebihan.|food
bad36|Pizza|Pizza|Pizza terlalu tinggi kalori, dapat menyebabkan kegemukan. Kegemukan dapat mengganggu kesehatan jantung|food
bad37|Tempura |Tempura |Tempura digoreng dengan minyak banyak sehingga mengandung banyak lemak yang dapatmenyebabkan iritasi kerongkongan dan kegemukan bila dikonsumsi berlebihan.|food
bad40|Sate ayam|Sate ayam|Sate dengan jeroan yang tinggi lemak dapat menyebabkan kegemukan dan mengganggu kesehatan jantung. Disamping itu tidak memenuhi keanekaragaman makanan.|food
bad41|Kebab ayam|Kebab ayam|Kebab ayam meskipun mengandung protein namun cukup tinggi lemak yang dapat menyebabkan kegemukan. Kegemukan dapat mengganggu kesehatan jantung.|food
bad42|sate usus|sate usus|Sate usus terlalu tinggi lemak, dapat menyebabkan kegemukan. Kegemukan dapat mengganggu kesehatan jantung.|food
bad43|Mie lidi|Mie lidi|Mie lidi miskin zat gizi dan banyak mengandung bahan penyedap tinggi yang dapat mengganggu penyerapan makanan dan fungsi otak.|food
bad44|Gulali|Gulali|Gulali mengandung gula tinggi yang dapat menyebabkan gigi berlubang dan iritasi kerongkongan jika dikonsumsi berlebihan.|food
bad45|Kue pelangi|Kue pelangi|Kue-kue biasanya mengandung gula tinggi yang dapat menyebabkan gigi berlubang jika dikonsumsi berlebihan.|food
bad46|Paha ayam goreng|Paha ayam goreng|Paha ayam goreng (fast food) tinggi lemak, dapat menyebabkan kegemukan. Lemak berlebihan tidak baik untuk jantung.|food
bad47|Burger |Burger |Burger terlalu tinggi lemak dan kalori, dapat menyebabkan kegemukan. Kegemukan dapat mengganggu kesehatan jantung.|food
bad48|Mie kering (kremes)|Mie kering (kremes)|Mie kremes mengandung bahan penyedap yang tinggi, dapat mengganggu penyerapan makanan dan fungsi otak. |food
bad49|Jelly berwarna mencolok|Jelly berwarna mencolok|Makanan dengan warna mencolok mengandung pewarna buatan yang dapat mengiritasi saluran cerna|food
bad50|Stik kentang|Stik kentang|Stik kentang banyak menyerap minyak dan mengandung bahan penyedap tinggi yang dapat mengganggu penyerapan makanan dan fungsi otak. |food
baddrinks1|Minuman serbuk instan|Minuman serbuk instan|Minuman serbuk manis dalam kemasan (pabrikan) mengandung pemanis buatan yang bila kandungannya berlebihan dapat menyebabkan radang tenggorokan. Jus buah asli lebih sehat daripada minuman serbuk instan.|drink
baddrinks2|Es potong|Es potong|Es potong kurang mengandung vitamin dan mineral. Segelas susu lebih baik untuk tulang dan gigi daripada sepotong es.|drink
baddrinks3|Es mambo|Es mambo|Es mambo kurang mengandung vitamin dan mineral. Segelas susu lebih baik untuk tulang dan gigi daripada sepotong es.|drink
baddrinks4|Es lilin|Es lilin|Es lilin kurang mengandung vitamin dan mineral. Segelas susu lebih baik untuk tulang dan gigi daripada sepotong es.|drink
baddrinks5|Minuman bersoda |Minuman bersoda |Minuman bersoda mengandung asam sitrat yang merusak gigi serta dapat mengiritasi lambung|drink
baddrinks6|Minuman dalam kemasan|Minuman dalam kemasan|Minuman dalam kemasan (pabrikan) mengandung pengawet dan pemanis buatan yang bila kandungannya berlebihan dapat menyebabkan radang tenggorokan.Minuman yang dibuat sendiri lebih sehat daripada minuman dalam kemasan.|drink
baddrinks7|Bubble tea|Bubble tea|Bubble tea biasanya mengandung gula tinggi yang dapat menyebabkan gigi berlubang jika dikonsumsi berlebihan.|drink
baddrinks8|Es teh|Es teh|Teh yang ditambah es batu dapat menyebabkan radang tenggorokan.|drink
baddrinks9|Es krim|Es krim|Es krim tinggi gula sehingga dapat menyebabkan gigi berlubang dan kegemukan.|drink
baddrinks10|Teh dalam kemasan gelas plastik|Teh dalam kemasan gelas plastik|Teh dalam kemasan gelas plastik mengandung pengawet dan pemanis buatan yang bila kandungannya berlebihan dapat menyebabkan radang tenggorokan. Teh hangat yang dibuat sendiri lebih sehat.|drink
